wbcode,year,dem,lgdp_pc
AFG,1970,0,
AFG,1971,0,
AFG,1972,0,
AFG,1973,0,
AFG,1974,0,
AFG,1975,0,
AFG,1976,0,
AFG,1977,0,
AFG,1978,0,
AFG,1979,0,
AFG,1980,0,
AFG,1981,0,
AFG,1982,0,
AFG,1983,0,
AFG,1984,0,
AFG,1985,0,
AFG,1986,0,
AFG,1987,0,
AFG,1988,0,
AFG,1989,0,
AFG,1990,0,
AFG,1991,0,
AFG,1992,0,
AFG,1993,0,
AFG,1994,0,
AFG,1995,0,
AFG,1996,0,
AFG,1997,0,
AFG,1998,0,
AFG,1999,0,
AFG,2000,0,
AFG,2001,0,
AFG,2002,0,
AFG,2003,0,
AFG,2004,0,
AFG,2005,0,
AFG,2006,0,
AFG,2007,0,
AFG,2008,0,
AFG,2009,0,
AFG,2010,0,
AGO,1970,1,
AGO,1971,1,
AGO,1972,1,
AGO,1973,1,
AGO,1974,1,
AGO,1975,0,
AGO,1976,0,
AGO,1977,0,
AGO,1978,0,
AGO,1979,0,
AGO,1980,0,
AGO,1981,0,
AGO,1982,0,
AGO,1983,0,
AGO,1984,0,
AGO,1985,0,6.6505432
AGO,1986,0,6.6421375
AGO,1987,0,6.6835561
AGO,1988,0,6.7046685
AGO,1989,0,6.6763387
AGO,1990,0,6.641932
AGO,1991,0,6.5958352
AGO,1992,0,6.4913678
AGO,1993,0,6.1757646
AGO,1994,0,6.1793451
AGO,1995,0,6.2485585
AGO,1996,0,6.3211036
AGO,1997,0,6.3648868
AGO,1998,0,6.3996067
AGO,1999,0,6.4012537
AGO,2000,0,6.4014163
AGO,2001,0,6.3973594
AGO,2002,0,6.498816
AGO,2003,0,6.4989252
AGO,2004,0,6.5743022
AGO,2005,0,6.7330995
AGO,2006,0,6.8703327
AGO,2007,0,7.0440173
AGO,2008,0,7.1442714
AGO,2009,0,7.1233406
AGO,2010,0,7.1542687
ALB,1970,0,
ALB,1971,0,
ALB,1972,0,
ALB,1973,0,
ALB,1974,0,
ALB,1975,0,
ALB,1976,0,
ALB,1977,0,
ALB,1978,0,
ALB,1979,0,
ALB,1980,0,6.9100046
ALB,1981,0,6.9498992
ALB,1982,0,6.9651527
ALB,1983,0,6.9624786
ALB,1984,0,6.9348431
ALB,1985,0,6.935235
ALB,1986,0,6.9762611
ALB,1987,0,6.9537387
ALB,1988,0,6.9256625
ALB,1989,0,7.0198545
ALB,1990,0,6.9193769
ALB,1991,0,6.5626445
ALB,1992,1,6.49018
ALB,1993,1,6.5894995
ALB,1994,1,6.678082
ALB,1995,1,6.8096957
ALB,1996,0,6.906147
ALB,1997,1,6.8054762
ALB,1998,1,6.9294515
ALB,1999,1,7.0279717
ALB,2000,1,7.0989661
ALB,2001,1,7.1650672
ALB,2002,1,7.196352
ALB,2003,1,7.2523956
ALB,2004,1,7.3096223
ALB,2005,1,7.3626485
ALB,2006,1,7.4084258
ALB,2007,1,7.4621291
ALB,2008,1,7.5330696
ALB,2009,1,7.5634394
ALB,2010,1,7.597302
ARG,1970,0,8.8592348
ARG,1971,0,8.8960295
ARG,1972,0,8.8942661
ARG,1973,1,8.9043789
ARG,1974,1,8.9408884
ARG,1975,1,8.9234982
ARG,1976,0,8.8862276
ARG,1977,0,8.9366207
ARG,1978,0,8.8741503
ARG,1979,0,8.9554796
ARG,1980,0,8.9805546
ARG,1981,0,8.9058056
ARG,1982,0,8.8391933
ARG,1983,1,8.8617821
ARG,1984,1,8.8684797
ARG,1985,1,8.7745953
ARG,1986,1,8.8349953
ARG,1987,1,8.8484621
ARG,1988,1,8.8075504
ARG,1989,1,8.7148495
ARG,1990,1,8.6760311
ARG,1991,1,8.7812958
ARG,1992,1,8.8803148
ARG,1993,1,8.9240818
ARG,1994,1,8.9672241
ARG,1995,1,8.9247637
ARG,1996,1,8.9659462
ARG,1997,1,9.0313015
ARG,1998,1,9.0566454
ARG,1999,1,9.0102549
ARG,2000,1,8.9910555
ARG,2001,1,8.9361525
ARG,2002,1,8.8116159
ARG,2003,1,8.8875456
ARG,2004,1,8.9654121
ARG,2005,1,9.044632
ARG,2006,1,9.1170807
ARG,2007,1,9.1912394
ARG,2008,1,9.2478523
ARG,2009,1,9.2476778
ARG,2010,1,9.3269119
ARM,1970,0,
ARM,1971,0,
ARM,1972,0,
ARM,1973,0,
ARM,1974,0,
ARM,1975,0,
ARM,1976,0,
ARM,1977,0,
ARM,1978,0,
ARM,1979,0,
ARM,1980,0,
ARM,1981,0,
ARM,1982,0,
ARM,1983,0,
ARM,1984,0,
ARM,1985,0,
ARM,1986,0,
ARM,1987,0,
ARM,1988,0,
ARM,1989,0,
ARM,1990,0,6.6762528
ARM,1991,1,6.5646605
ARM,1992,1,6.0363321
ARM,1993,1,5.957356
ARM,1994,1,6.0233693
ARM,1995,1,6.1038513
ARM,1996,0,6.1702714
ARM,1997,0,6.2125621
ARM,1998,1,6.2925591
ARM,1999,1,6.3341017
ARM,2000,1,6.3997622
ARM,2001,1,6.4965839
