region,provincia,comune,PRO_COM2011,data_elezioni,elettori,votanti,voti_non_validi,schede_bianche,totalevotilista,totaleseggi,DCtotalevoti,DCtotaleseggi,PSItotalevoti,PSItotaleseggi,PCItotalevoti,PCItotaleseggi,OtherParties_voti,OtherParties_seggi
Puglia,Bari,Poggiorsini,72034,22/11/1970,866,737,5,4,681,15,332,6,0,0,0,0,349,9
Puglia,Lecce,Soleto,75076,13/06/1971,3338,2967,21,5,2924,20,1725,16,0,0,0,0,1199,4
Puglia,Lecce,Surano,75082,22/11/1970,1138,937,3,1,931,15,421,3,0,0,0,0,510,12
Puglia,Bari,Bitonto,72011,13/06/1971,23174,21579,723,266,20856,40,5722,11,4072,8,6290,13,4772,8
Puglia,Bari,Putignano,72036,22/11/1970,14092,12568,342,163,12226,30,7904,20,1103,3,2694,7,525,0
Puglia,Bari,Rutigliano,72037,22/11/1970,8268,7415,118,40,7297,30,3587,16,1061,4,1425,6,1224,4
Puglia,Bari,Ruvo di Puglia,72038,13/06/1971,15141,13848,241,115,13607,30,4099,10,1242,3,4275,10,3991,7
Puglia,Foggia,Candela,71009,13/06/1971,2772,2448,85,52,2363,20,839,8,173,1,936,9,415,2
Puglia,Barletta-Andria-Trani,San Ferdinando di Puglia,110007,13/06/1971,7981,7144,157,73,6987,30,1909,9,476,2,3075,14,1527,5
Puglia,Foggia,San Giovanni Rotondo,71046,13/06/1971,11656,9521,357,172,9164,30,4362,15,707,2,2812,9,1283,4
Puglia,Foggia,San Severo,71051,13/06/1971,30066,26821,651,425,26170,40,8097,13,1838,3,11051,18,5184,6
Puglia,Foggia,Serracapriola,71053,13/06/1971,4839,3896,115,80,3781,20,1639,9,517,2,1259,7,366,2
Puglia,Foggia,Torremaggiore,71056,13/06/1971,10153,9339,204,123,9135,30,2220,7,712,2,4765,17,1438,4
Puglia,Foggia,Troia,71058,13/06/1971,5095,4615,176,120,4439,20,1857,9,811,4,1250,6,521,1
Puglia,Foggia,Vico del Gargano,71059,13/06/1971,5607,4394,168,40,4226,20,1067,5,244,1,612,3,2303,11
Puglia,Foggia,Vieste,71060,13/06/1971,7402,5720,92,41,5628,30,2600,15,334,1,1803,10,891,4
Puglia,Lecce,Aradeo,75006,22/11/1970,5529,4100,71,22,4029,20,1983,11,210,1,1397,7,439,1
