row_id,comune,data_elezioni,check_category,check_name,severity,description,recommended_action
188,Montemesola,30/11/1952,Duplicates,near_duplicate,high,Same municipality code and election date but differing values.,manual_review
192,Morciano di Leuca,26/10/1952,Duplicates,near_duplicate,high,Same municipality code and election date but differing values.,manual_review
198,Orsara di Puglia,23/05/1954,Duplicates,near_duplicate,high,Same municipality code and election date but differing values.,manual_review
220,Sammichele di Bari,23/05/1954,Duplicates,near_duplicate,high,Same municipality code and election date but differing values.,manual_review
237,Serracapriola,23/05/1954,Duplicates,near_duplicate,high,Same municipality code and election date but differing values.,manual_review
319,Montemesola,30/11/1952,Duplicates,near_duplicate,high,Same municipality code and election date but differing values.,manual_review
322,Morciano Di Leuca,26/10/1952,Duplicates,near_duplicate,high,Same municipality code and election date but differing values.,manual_review
327,Orsara Di Puglia,23/05/1954,Duplicates,near_duplicate,high,Same municipality code and election date but differing values.,manual_review
347,Sammichele Di Bari,23/05/1954,Duplicates,near_duplicate,high,Same municipality code and election date but differing values.,manual_review
363,Serracapriola,23/05/1954,Duplicates,near_duplicate,high,Same municipality code and election date but differing values.,manual_review
552,MONTE SANT'ANGELO,11/11/1962,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
553,SAN GIOVANNI ROTONDO,11/11/1962,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
554,SAN MARCO IN LAMIS,11/11/1962,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
555,TRINITAPOLI,11/11/1962,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
556,CASABANO,10/06/1962,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
557,GALATINA,10/06/1962,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
558,MAGLIE,17/11/1963,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
559,TREPUZZI,10/06/1962,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
560,CASTELLANETA,17/11/1963,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
561,MOTTOLA,10/06/1962,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
562,SAVA,10/06/1962,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
563,ADELFIA,10/06/1962,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
564,BARI,10/06/1962,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
565,BITONTO,10/06/1962,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
566,CANOSA DI PUGLIA,10/06/1962,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
567,CORATO,11/11/1962,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
568,GIOIA DEL COLLE,10/11/1963,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
569,MINERVINO MURGE,11/11/1962,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
570,MOLFETTA,10/06/1962,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
571,TERLIZZI,10/11/1963,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
572,TURI,10/11/1963,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
573,CEGLIE MESSAPICO,02/12/1962,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
574,CISTERNINO,17/11/1963,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
575,OSTUNI,02/12/1962,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
576,LUCERA,17/11/1963,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
577,MANFREDONIA,10/06/1962,OCR_name,all_caps_comune,low,"Municipality name in ALL CAPS, likely OCR artifact.",auto_correct_to_title_case
24,Acquaviva Delle Fonti,07/06/1970,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
30,Cassano Delle Murge,07/06/1970,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
56,San Vito Dei Normanni,07/06/1970,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
274,Bagnolo Del Salento,27/05/1956,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
279,Caprarica Di Lecce,27/05/1956,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
284,Cassano Delle Murge,27/05/1956,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
285,Castri Di Lecce,27/05/1956,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
287,Castrignano Del Capo,27/05/1956,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
298,Gagliano Del Capo,27/05/1956,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
316,Minervino Di Lecce,27/05/1956,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
318,Monteleone Di Puglia,27/05/1956,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
320,Monteroni Di Lecce,27/05/1956,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
322,Morciano Di Leuca,26/10/1952,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
327,Orsara Di Puglia,23/05/1954,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
347,Sammichele Di Bari,23/05/1954,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
348,San Cesario Di Lecce,27/05/1956,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
350,San Donato Di Lecce,27/05/1956,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
355,San Paolo Di Civitate,27/05/1956,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
356,San Pietro In Lama,27/05/1956,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
358,Sannicandro Di Bari,27/05/1956,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
360,Sant'Agata Di Puglia,27/05/1956,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
381,Vico Del Gargano,27/05/1956,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
387,Gioia Del Colle,27/10/1957,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
397,Sammichele Di Bari,09/11/1958,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
398,San Marco In Lamis,12/10/1958,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
399,Santeramo In Colle,09/11/1958,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
401,Acquarica Del Capo,06/11/1960,OCR_name,preposition_capitalization,low,"Preposition incorrectly capitalized (e.g., 'Di' instead of 'di').",auto_correct_prepositions
